Country,Current_Weather,Current_Temperature(F),Date
Benin,Scattered clouds.,84,20/06/2023
Burkina-Faso,Partly sunny.,89,20/06/2023
Cape-Verde,Passing clouds.,76,20/06/2023
Cote-Divoire,Overcast.,76,20/06/2023
Gambia,Partly sunny.,88,20/06/2023
Ghana,Partly sunny.,84,20/06/2023
Guinea,Light rain. Partly sunny.,81,20/06/2023
Guinea-Bissau,Partly sunny.,90,20/06/2023
Liberia,Light rain. Partly sunny.,77,20/06/2023
Mali,Passing clouds.,82,20/06/2023
Mauritania,Sunny.,93,20/06/2023
Niger,Passing clouds.,91,20/06/2023
Nigeria,Low clouds.,79,20/06/2023
Senegal,Passing clouds.,84,20/06/2023
Sierra-Leone,Partly sunny.,84,20/06/2023
Togo,Passing clouds.,82,20/06/2023
Benin,Light rain. Scattered clouds.,81,21/06/2023
Burkina-Faso,Partly sunny.,89,21/06/2023
Cape-Verde,Passing clouds.,75,21/06/2023
Cote-Divoire,Overcast.,78,21/06/2023
Gambia,Scattered clouds.,86,21/06/2023
Ghana,Mostly cloudy.,81,21/06/2023
Guinea,Mostly cloudy.,79,21/06/2023
Guinea-Bissau,Scattered clouds.,88,21/06/2023
Liberia,Partly sunny.,81,21/06/2023
Mali,Passing clouds.,90,21/06/2023
Mauritania,Sunny.,99,21/06/2023
Niger,Sunny.,93,21/06/2023
Nigeria,Overcast.,77,21/06/2023
Senegal,Passing clouds.,84,21/06/2023
Sierra-Leone,Partly sunny.,79,21/06/2023
Togo,Scattered clouds.,84,21/06/2023
Benin,Scattered clouds.,84,22/06/2023
Burkina-Faso,Thunderstorms. Partly sunny.,88,22/06/2023
Cape-Verde,Passing clouds.,75,22/06/2023
Cote-Divoire,Overcast.,78,22/06/2023
Gambia,Broken clouds.,86,22/06/2023
Ghana,Scattered clouds.,81,22/06/2023
Guinea,Partly sunny.,81,22/06/2023
Guinea-Bissau,Passing clouds.,88,22/06/2023
Liberia,Partly sunny.,84,22/06/2023
Mali,Passing clouds.,90,22/06/2023
Mauritania,Clear.,95,22/06/2023
Niger,Passing clouds.,90,22/06/2023
Nigeria,Overcast.,78,22/06/2023
Senegal,Scattered clouds.,86,22/06/2023
Sierra-Leone,Partly sunny.,81,22/06/2023
Togo,Partly sunny.,82,22/06/2023
Benin,Scattered clouds.,82,23/06/2023
Burkina-Faso,Thunderstorms. Partly sunny.,91,23/06/2023
Cape-Verde,Passing clouds.,85,23/06/2023
Cote-Divoire,Overcast.,77,23/06/2023
Gambia,Partly sunny.,88,23/06/2023
Ghana,Broken clouds.,77,23/06/2023
Guinea,Scattered clouds.,82,23/06/2023
Guinea-Bissau,Partly sunny.,90,23/06/2023
Liberia,Partly sunny.,81,23/06/2023
Mali,Passing clouds.,77,23/06/2023
Mauritania,Sunny.,91,23/06/2023
Niger,Clear.,95,23/06/2023
Nigeria,Overcast.,81,23/06/2023
Senegal,Sunny.,86,23/06/2023
Sierra-Leone,Partly sunny.,79,23/06/2023
Togo,Scattered clouds.,84,23/06/2023
Benin,Heavy rain. Partly sunny.,77,24/06/2023
Burkina-Faso,Partly sunny.,88,24/06/2023
Cape-Verde,Passing clouds.,76,24/06/2023
Cote-Divoire,Overcast.,78,24/06/2023
Gambia,Partly sunny.,90,24/06/2023
Ghana,Mostly cloudy.,79,24/06/2023
Guinea,Partly sunny.,86,24/06/2023
Guinea-Bissau,Passing clouds.,84,24/06/2023
Liberia,Partly sunny.,82,24/06/2023
Mali,Passing clouds.,90,24/06/2023
Mauritania,Sunny.,91,24/06/2023
Niger,Passing clouds.,95,24/06/2023
Nigeria,Partly sunny.,81,24/06/2023
Senegal,Passing clouds.,84,24/06/2023
Sierra-Leone,Partly sunny.,84,24/06/2023
Togo,Scattered clouds.,81,24/06/2023
Benin,Scattered clouds.,84,25/06/2023
Burkina-Faso,Overcast.,87,25/06/2023
Cape-Verde,Scattered clouds.,84,25/06/2023
Cote-Divoire,Overcast.,76,25/06/2023
Gambia,Partly sunny.,90,25/06/2023
Ghana,Partly sunny.,81,25/06/2023
Guinea,Broken clouds.,86,25/06/2023
Guinea-Bissau,Partly sunny.,88,25/06/2023
Liberia,Drizzle. Partly sunny.,79,25/06/2023
Mali,Passing clouds.,88,25/06/2023
Mauritania,Sunny.,88,25/06/2023
Niger,Passing clouds.,88,25/06/2023
Nigeria,Low clouds.,74,25/06/2023
Senegal,Scattered clouds.,84,25/06/2023
Sierra-Leone,Partly sunny.,81,25/06/2023
Togo,Broken clouds.,79,25/06/2023
Benin,Scattered clouds.,82,26/06/2023
Burkina-Faso,Overcast.,86,26/06/2023
Cape-Verde,Passing clouds.,75,26/06/2023
Cote-Divoire,Overcast.,75,26/06/2023
Gambia,Scattered clouds.,88,26/06/2023
Ghana,More clouds than sun.,79,26/06/2023
Guinea,Partly sunny.,75,26/06/2023
Guinea-Bissau,Clear.,86,26/06/2023
Liberia,Partly sunny.,79,26/06/2023
Mali,Scattered clouds.,84,26/06/2023
Mauritania,Partly sunny.,82,26/06/2023
Niger,Partly sunny.,91,26/06/2023
Nigeria,Low clouds.,76,26/06/2023
Senegal,Scattered clouds.,82,26/06/2023
Sierra-Leone,Partly sunny.,75,26/06/2023
Togo,Scattered clouds.,82,26/06/2023
Benin,Scattered clouds.,82,27/06/2023
Burkina-Faso,Partly sunny.,88,27/06/2023
Cape-Verde,Scattered clouds.,82,27/06/2023
Cote-Divoire,Overcast.,74,27/06/2023
Gambia,Partly sunny.,91,27/06/2023
Ghana,Passing clouds.,82,27/06/2023
Guinea,Light rain. Mostly cloudy.,79,27/06/2023
Guinea-Bissau,Thunderstorms. Partly sunny.,82,27/06/2023
Liberia,Partly sunny.,82,27/06/2023
Mali,Scattered clouds.,88,27/06/2023
Mauritania,Sunny.,90,27/06/2023
Niger,Passing clouds.,99,27/06/2023
Nigeria,Overcast.,82,27/06/2023
Senegal,Partly sunny.,84,27/06/2023
Sierra-Leone,Partly sunny.,82,27/06/2023
Togo,Passing clouds.,86,27/06/2023
Benin,Scattered clouds.,81,28/06/2023
Burkina-Faso,Thundershowers. Overcast.,81,28/06/2023
Cape-Verde,Passing clouds.,82,28/06/2023
Cote-Divoire,Partly sunny.,77,28/06/2023
Gambia,Partly sunny.,88,28/06/2023
Ghana,Partly sunny.,82,28/06/2023
Guinea,Light rain. Mostly cloudy.,77,28/06/2023
Guinea-Bissau,Scattered clouds.,88,28/06/2023
Liberia,Drizzle. Partly sunny.,79,28/06/2023
Mali,Passing clouds.,82,28/06/2023
Mauritania,Sunny.,90,28/06/2023
Niger,Passing clouds.,91,28/06/2023
Nigeria,Overcast.,79,28/06/2023
Senegal,Partly sunny.,82,28/06/2023
Sierra-Leone,Partly sunny.,79,28/06/2023
Togo,Scattered clouds.,86,28/06/2023
Benin,Scattered clouds.,82,29/06/2023
Burkina-Faso,Overcast.,84,29/06/2023
Cape-Verde,Passing clouds.,77,29/06/2023
Cote-Divoire,Overcast.,75,29/06/2023
Gambia,Thunderstorms. Broken clouds.,82,29/06/2023
Ghana,Passing clouds.,82,29/06/2023
Guinea,Partly sunny.,81,29/06/2023
Guinea-Bissau,Thunderstorms. Partly sunny.,73,29/06/2023
Liberia,Partly sunny.,79,29/06/2023
Mali,Passing clouds.,88,29/06/2023
Mauritania,Sunny.,91,29/06/2023
Niger,Passing clouds.,91,29/06/2023
Nigeria,Overcast.,79,29/06/2023
Senegal,Passing clouds.,88,29/06/2023
Sierra-Leone,Partly sunny.,81,29/06/2023
Togo,Scattered clouds.,84,29/06/2023
Benin,Scattered clouds.,84,30/06/2023
Burkina-Faso,Passing clouds.,87,30/06/2023
Cape-Verde,Passing clouds.,82,30/06/2023
Cote-Divoire,Overcast.,76,30/06/2023
Gambia,Partly sunny.,90,30/06/2023
Ghana,Scattered clouds.,86,30/06/2023
Guinea,Partly sunny.,81,30/06/2023
Guinea-Bissau,Scattered clouds.,88,30/06/2023
Liberia,Partly sunny.,82,30/06/2023
Mali,Passing clouds.,75,30/06/2023
Mauritania,Sunny.,91,30/06/2023
Niger,Passing clouds.,95,30/06/2023
Nigeria,Overcast.,83,30/06/2023
Senegal,Sunny.,88,30/06/2023
Sierra-Leone,Partly sunny.,81,30/06/2023
Togo,Scattered clouds.,86,30/06/2023
Benin,Scattered clouds.,82,01/07/2023
Burkina-Faso,Overcast.,87,01/07/2023
Cape-Verde,Overcast.,85,01/07/2023
Cote-Divoire,Overcast.,77,01/07/2023
Gambia,Broken clouds.,82,01/07/2023
Ghana,Broken clouds.,84,01/07/2023
Guinea,Light rain. Partly sunny.,81,01/07/2023
Guinea-Bissau,Scattered clouds.,88,01/07/2023
Liberia,Partly sunny.,82,01/07/2023
Mali,Partly sunny.,84,01/07/2023
Mauritania,Scattered clouds.,88,01/07/2023
Niger,Sunny.,88,01/07/2023
Nigeria,Overcast.,81,01/07/2023
Senegal,Scattered clouds.,84,01/07/2023
Sierra-Leone,Light rain. Partly sunny.,81,01/07/2023
Togo,Scattered clouds.,82,01/07/2023
Benin,Thunderstorms. Scattered clouds.,79,02/07/2023
Burkina-Faso,Thunderstorms. Overcast.,86,02/07/2023
Cape-Verde,Overcast.,82,02/07/2023
Cote-Divoire,Overcast.,78,02/07/2023
Gambia,Scattered clouds.,84,02/07/2023
Ghana,Scattered clouds.,86,02/07/2023
Guinea,Broken clouds.,81,02/07/2023
Guinea-Bissau,Partly sunny.,88,02/07/2023
Liberia,Partly sunny.,84,02/07/2023
Mali,Passing clouds.,86,02/07/2023
Mauritania,Sunny.,91,02/07/2023
Niger,Passing clouds.,93,02/07/2023
Nigeria,Scattered clouds.,79,02/07/2023
Senegal,Scattered clouds.,84,02/07/2023
Sierra-Leone,Partly sunny.,81,02/07/2023
Togo,Passing clouds.,84,02/07/2023
Benin,Scattered clouds.,84,03/07/2023
Burkina-Faso,Passing clouds.,93,03/07/2023
Cape-Verde,Passing clouds.,73,03/07/2023
Cote-Divoire,Overcast.,75,03/07/2023
Gambia,Broken clouds.,82,03/07/2023
Ghana,Scattered clouds.,82,03/07/2023
Guinea,Partly sunny.,81,03/07/2023
Guinea-Bissau,Partly sunny.,84,03/07/2023
Liberia,Partly sunny.,82,03/07/2023
Mali,Passing clouds.,86,03/07/2023
Mauritania,Sunny.,82,03/07/2023
Niger,Sunny.,93,03/07/2023
Nigeria,Overcast.,81,03/07/2023
Senegal,Passing clouds.,81,03/07/2023
Sierra-Leone,Partly sunny.,77,03/07/2023
Togo,Scattered clouds.,82,03/07/2023
Benin,Scattered clouds.,84,04/07/2023
Burkina-Faso,Scattered clouds.,92,04/07/2023
Cape-Verde,Passing clouds.,76,04/07/2023
Cote-Divoire,Overcast.,76,04/07/2023
Gambia,Broken clouds.,84,04/07/2023
Ghana,Scattered clouds.,84,04/07/2023
Guinea,Scattered clouds.,84,04/07/2023
Guinea-Bissau,Passing clouds.,88,04/07/2023
Liberia,Partly sunny.,82,04/07/2023
Mali,Passing clouds.,90,04/07/2023
Mauritania,Sunny.,91,04/07/2023
Niger,Scattered clouds.,86,04/07/2023
Nigeria,Overcast.,82,04/07/2023
Senegal,Sunny.,88,04/07/2023
Sierra-Leone,Partly sunny.,82,04/07/2023
Togo,Passing clouds.,86,04/07/2023
Benin,Scattered clouds.,82,05/07/2023
Burkina-Faso,Passing clouds.,93,05/07/2023
Cape-Verde,Passing clouds.,79,05/07/2023
Cote-Divoire,Overcast.,77,05/07/2023
Gambia,Passing clouds.,90,05/07/2023
Ghana,Passing clouds.,84,05/07/2023
Guinea,Partly sunny.,82,05/07/2023
Guinea-Bissau,Partly sunny.,88,05/07/2023
Liberia,Partly sunny.,86,05/07/2023
Mali,Passing clouds.,90,05/07/2023
Mauritania,Sunny.,86,05/07/2023
Niger,Passing clouds.,82,05/07/2023
Nigeria,Overcast.,79,05/07/2023
Senegal,Scattered clouds.,88,05/07/2023
Sierra-Leone,Partly sunny.,79,05/07/2023
Togo,Broken clouds.,84,05/07/2023
Benin,Scattered clouds.,86,06/07/2023
Burkina-Faso,Partly sunny.,90,06/07/2023
Cape-Verde,Passing clouds.,78,06/07/2023
Cote-Divoire,Overcast.,80,06/07/2023
Gambia,Broken clouds.,88,06/07/2023
Ghana,Partly sunny.,82,06/07/2023
Guinea,Partly sunny.,82,06/07/2023
Guinea-Bissau,Scattered clouds.,79,06/07/2023
Liberia,Light rain. Low clouds.,73,06/07/2023
Mali,Passing clouds.,86,06/07/2023
Mauritania,Passing clouds.,86,06/07/2023
Niger,Sunny.,93,06/07/2023
Nigeria,Overcast.,84,06/07/2023
Senegal,Passing clouds.,86,06/07/2023
Sierra-Leone,Partly sunny.,79,06/07/2023
Togo,Scattered clouds.,84,06/07/2023
Benin,Partly sunny.,81,07/07/2023
Burkina-Faso,Scattered clouds.,86,07/07/2023
Cape-Verde,Passing clouds.,86,07/07/2023
Cote-Divoire,Overcast.,76,07/07/2023
Gambia,Partly sunny.,91,07/07/2023
Ghana,Scattered clouds.,84,07/07/2023
Guinea,Partly sunny.,82,07/07/2023
Guinea-Bissau,Thunderstorms. Partly sunny.,79,07/07/2023
Liberia,Partly sunny.,81,07/07/2023
Mali,Passing clouds.,90,07/07/2023
Mauritania,Sunny.,93,07/07/2023
Niger,Sunny.,97,07/07/2023
Nigeria,Thunderstorms. Overcast.,77,07/07/2023
Senegal,Scattered clouds.,86,07/07/2023
Sierra-Leone,Partly sunny.,81,07/07/2023
Togo,Partly sunny.,86,07/07/2023
Benin,Scattered clouds.,82,08/07/2023
Burkina-Faso,Overcast.,84,08/07/2023
Cape-Verde,Scattered clouds.,84,08/07/2023
Cote-Divoire,Overcast.,75,08/07/2023
Gambia,Scattered clouds.,90,08/07/2023
Ghana,More clouds than sun.,81,08/07/2023
Guinea,Passing clouds.,86,08/07/2023
Guinea-Bissau,Partly sunny.,86,08/07/2023
Liberia,Partly sunny.,82,08/07/2023
Mali,Passing clouds.,81,08/07/2023
Mauritania,Sunny.,91,08/07/2023
Niger,Sunny.,90,08/07/2023
Nigeria,Light rain. Low clouds.,71,08/07/2023
Senegal,Sunny.,84,08/07/2023
Sierra-Leone,Partly sunny.,82,08/07/2023
Togo,Scattered clouds.,84,08/07/2023
Benin,Thunderstorms. Scattered clouds.,79,09/07/2023
Burkina-Faso,Overcast.,83,09/07/2023
Cape-Verde,Passing clouds.,88,09/07/2023
Cote-Divoire,Overcast.,77,09/07/2023
Gambia,Scattered clouds.,93,09/07/2023
Ghana,Scattered clouds.,82,09/07/2023
Guinea,Scattered clouds.,82,09/07/2023
Guinea-Bissau,Scattered clouds.,90,09/07/2023
Liberia,Thunderstorms. Partly sunny.,77,09/07/2023
Mali,Passing clouds.,86,09/07/2023
Mauritania,Sunny.,90,09/07/2023
Niger,Passing clouds.,93,09/07/2023
Nigeria,Overcast.,78,09/07/2023
Senegal,Partly sunny.,86,09/07/2023
Sierra-Leone,Partly sunny.,79,09/07/2023
Togo,Scattered clouds.,82,09/07/2023
Benin,Scattered clouds.,84,10/07/2023
Burkina-Faso,Thundershowers. Overcast.,79,10/07/2023
Cape-Verde,Passing clouds.,76,10/07/2023
Cote-Divoire,Overcast.,78,10/07/2023
Gambia,Broken clouds.,88,10/07/2023
Ghana,Partly sunny.,82,10/07/2023
Guinea,Scattered clouds.,84,10/07/2023
Guinea-Bissau,Scattered clouds.,84,10/07/2023
Liberia,Partly sunny.,86,10/07/2023
Mali,Passing clouds.,90,10/07/2023
Mauritania,Sunny.,90,10/07/2023
Niger,Sunny.,82,10/07/2023
Nigeria,Overcast.,81,10/07/2023
Senegal,Partly sunny.,86,10/07/2023
Sierra-Leone,Partly sunny.,81,10/07/2023
Togo,Partly sunny.,82,10/07/2023
Benin,Scattered clouds.,84,11/07/2023
Burkina-Faso,Thunderstorms. Partly sunny.,89,11/07/2023
Cape-Verde,Scattered clouds.,83,11/07/2023
Cote-Divoire,Overcast.,78,11/07/2023
Gambia,Broken clouds.,82,11/07/2023
Ghana,Scattered clouds.,82,11/07/2023
Guinea,Broken clouds.,79,11/07/2023
Guinea-Bissau,Partly sunny.,81,11/07/2023
Liberia,Partly sunny.,77,11/07/2023
Mali,Scattered clouds.,84,11/07/2023
Mauritania,Sunny.,90,11/07/2023
Niger,Sunny.,91,11/07/2023
Nigeria,Overcast.,82,11/07/2023
Senegal,Sunny.,84,11/07/2023
Sierra-Leone,Partly sunny.,75,11/07/2023
Togo,Scattered clouds.,84,11/07/2023
Benin,Scattered clouds.,79,12/07/2023
Burkina-Faso,Overcast.,84,12/07/2023
Cape-Verde,Partly sunny.,84,12/07/2023
Cote-Divoire,Overcast.,78,12/07/2023
Gambia,Partly sunny.,88,12/07/2023
Ghana,Light rain. Broken clouds.,79,12/07/2023
Guinea,Partly sunny.,84,12/07/2023
Guinea-Bissau,Partly sunny.,84,12/07/2023
Liberia,Partly sunny.,81,12/07/2023
Mali,Passing clouds.,90,12/07/2023
Mauritania,Sunny.,91,12/07/2023
Niger,Sunny.,90,12/07/2023
Nigeria,Overcast.,79,12/07/2023
Senegal,Scattered clouds.,86,12/07/2023
Sierra-Leone,Rain. Partly sunny.,79,12/07/2023
Togo,Scattered clouds.,73,12/07/2023
Benin,Scattered clouds.,82,13/07/2023
Burkina-Faso,Light rain. Overcast.,80,13/07/2023
Cape-Verde,Passing clouds.,77,13/07/2023
Cote-Divoire,Partly sunny.,77,13/07/2023
Gambia,Partly sunny.,88,13/07/2023
Ghana,Partly sunny.,82,13/07/2023
Guinea,Scattered clouds.,86,13/07/2023
Guinea-Bissau,Partly sunny.,84,13/07/2023
Liberia,Partly sunny.,81,13/07/2023
Mali,Passing clouds.,91,13/07/2023
Mauritania,Sunny.,95,13/07/2023
Niger,Passing clouds.,91,13/07/2023
Nigeria,Overcast.,75,13/07/2023
Senegal,Sunny.,86,13/07/2023
Sierra-Leone,Partly sunny.,81,13/07/2023
Togo,Scattered clouds.,84,13/07/2023
Benin,Scattered clouds.,84,14/07/2023
Burkina-Faso,Overcast.,87,14/07/2023
Cape-Verde,Passing clouds.,78,14/07/2023
Cote-Divoire,Overcast.,77,14/07/2023
Gambia,Broken clouds.,82,14/07/2023
Ghana,Partly sunny.,84,14/07/2023
Guinea,Broken clouds.,79,14/07/2023
Guinea-Bissau,Passing clouds.,81,14/07/2023
Liberia,Light rain. Partly sunny.,77,14/07/2023
Mali,Scattered clouds.,86,14/07/2023
Mauritania,Sunny.,90,14/07/2023
Niger,Passing clouds.,91,14/07/2023
Nigeria,Thunderstorms. Overcast.,76,14/07/2023
Senegal,Scattered clouds.,86,14/07/2023
Sierra-Leone,Partly sunny.,77,14/07/2023
Togo,Scattered clouds.,86,14/07/2023
Benin,Broken clouds.,84,15/07/2023
Burkina-Faso,Sprinkles. Overcast.,85,15/07/2023
Cape-Verde,Passing clouds.,84,15/07/2023
Cote-Divoire,Overcast.,79,15/07/2023
Gambia,Broken clouds.,88,15/07/2023
Ghana,Scattered clouds.,82,15/07/2023
Guinea,Light rain. Partly sunny.,79,15/07/2023
Guinea-Bissau,Partly sunny.,84,15/07/2023
Liberia,Partly sunny.,84,15/07/2023
Mali,Passing clouds.,86,15/07/2023
Mauritania,Scattered clouds.,93,15/07/2023
Niger,Passing clouds.,82,15/07/2023
Nigeria,Overcast.,83,15/07/2023
Senegal,Scattered clouds.,86,15/07/2023
Sierra-Leone,Partly sunny.,81,15/07/2023
Togo,Scattered clouds.,84,15/07/2023
Benin,Scattered clouds.,86,16/07/2023
Burkina-Faso,Overcast.,89,16/07/2023
Cape-Verde,Passing clouds.,79,16/07/2023
Cote-Divoire,Overcast.,78,16/07/2023
Gambia,Broken clouds.,88,16/07/2023
Ghana,Passing clouds.,84,16/07/2023
Guinea,Broken clouds.,84,16/07/2023
Guinea-Bissau,Partly sunny.,88,16/07/2023
Liberia,Partly sunny.,81,16/07/2023
Mali,Scattered clouds.,88,16/07/2023
Mauritania,Partly sunny.,91,16/07/2023
Niger,Passing clouds.,93,16/07/2023
Nigeria,Overcast.,79,16/07/2023
Senegal,Scattered clouds.,88,16/07/2023
Sierra-Leone,Partly sunny.,82,16/07/2023
Togo,Scattered clouds.,84,16/07/2023
Benin,Scattered clouds.,84,17/07/2023
Burkina-Faso,Partly sunny.,86,17/07/2023
Cape-Verde,Passing clouds.,80,17/07/2023
Cote-Divoire,Overcast.,78,17/07/2023
Gambia,Broken clouds.,86,17/07/2023
Ghana,Partly sunny.,84,17/07/2023
Guinea,Partly sunny.,77,17/07/2023
Guinea-Bissau,Scattered clouds.,82,17/07/2023
Liberia,Light rain. Broken clouds.,75,17/07/2023
Mali,Scattered clouds.,86,17/07/2023
Mauritania,Sunny.,88,17/07/2023
Niger,Sunny.,82,17/07/2023
Nigeria,Overcast.,77,17/07/2023
Senegal,Scattered clouds.,84,17/07/2023
Sierra-Leone,Rain. Partly sunny.,77,17/07/2023
Togo,Scattered clouds.,86,17/07/2023
Benin,Scattered clouds.,86,18/07/2023
Burkina-Faso,Overcast.,87,18/07/2023
Cape-Verde,Passing clouds.,78,18/07/2023
Cote-Divoire,Overcast.,76,18/07/2023
Gambia,Broken clouds.,84,18/07/2023
Ghana,Partly sunny.,82,18/07/2023
Guinea,Light rain. Partly sunny.,82,18/07/2023
Guinea-Bissau,Partly sunny.,81,18/07/2023
Liberia,Partly sunny.,82,18/07/2023
Mali,Scattered clouds.,86,18/07/2023
Mauritania,Scattered clouds.,93,18/07/2023
Niger,Sunny.,95,18/07/2023
Nigeria,Overcast.,84,18/07/2023
Senegal,Scattered clouds.,86,18/07/2023
Sierra-Leone,Partly sunny.,75,18/07/2023
Togo,Scattered clouds.,86,18/07/2023
Benin,Scattered clouds.,84,19/07/2023
Burkina-Faso,Light rain. Overcast.,80,19/07/2023
Cape-Verde,Partly sunny.,83,19/07/2023
Cote-Divoire,Fog.,76,19/07/2023
Gambia,Partly sunny.,88,19/07/2023
Ghana,Scattered clouds.,79,19/07/2023
Guinea,Partly sunny.,82,19/07/2023
Guinea-Bissau,Partly sunny.,86,19/07/2023
Liberia,Partly sunny.,82,19/07/2023
Mali,Passing clouds.,91,19/07/2023
Mauritania,Passing clouds.,97,19/07/2023
Niger,Sunny.,93,19/07/2023
Nigeria,Low clouds.,74,19/07/2023
Senegal,Scattered clouds.,88,19/07/2023
Sierra-Leone,Partly sunny.,81,19/07/2023
Togo,Passing clouds.,86,19/07/2023
Benin,Scattered clouds.,84,20/07/2023
Burkina-Faso,Thundershowers. Overcast.,80,20/07/2023
Cape-Verde,Passing clouds.,83,20/07/2023
Cote-Divoire,Overcast.,76,20/07/2023
Gambia,Partly sunny.,79,20/07/2023
Ghana,Partly sunny.,84,20/07/2023
Guinea,Partly sunny.,84,20/07/2023
Guinea-Bissau,Scattered clouds.,81,20/07/2023
Liberia,Drizzle. Partly sunny.,79,20/07/2023
Mali,Passing clouds.,88,20/07/2023
Mauritania,Rain. Partly sunny.,75,20/07/2023
Niger,Sunny.,93,20/07/2023
Nigeria,Overcast.,78,20/07/2023
Senegal,Scattered clouds.,75,20/07/2023
Sierra-Leone,Scattered clouds.,82,20/07/2023
Togo,Scattered clouds.,86,20/07/2023
Benin,Scattered clouds.,81,21/07/2023
Burkina-Faso,Thundershowers. Overcast.,80,21/07/2023
Cape-Verde,Partly sunny.,87,21/07/2023
Cote-Divoire,Overcast.,78,21/07/2023
Gambia,Partly sunny.,91,21/07/2023
Ghana,Broken clouds.,82,21/07/2023
Guinea,Thunderstorms. Mostly cloudy.,79,21/07/2023
Guinea-Bissau,Scattered clouds.,86,21/07/2023
Liberia,Partly sunny.,81,21/07/2023
Mali,Passing clouds.,91,21/07/2023
Mauritania,Scattered clouds.,84,21/07/2023
Niger,Thunderstorms. Passing clouds.,72,21/07/2023
Nigeria,Overcast.,81,21/07/2023
Senegal,Scattered clouds.,86,21/07/2023
Sierra-Leone,Partly sunny.,82,21/07/2023
Togo,Scattered clouds.,84,21/07/2023
Benin,Partly sunny.,79,22/07/2023
Burkina-Faso,Overcast.,86,22/07/2023
Cape-Verde,Passing clouds.,78,22/07/2023
Cote-Divoire,Overcast.,77,22/07/2023
Gambia,Partly sunny.,88,22/07/2023
Ghana,Mostly cloudy.,79,22/07/2023
Guinea,Light rain. Mostly cloudy.,79,22/07/2023
Guinea-Bissau,Thunderstorms. Partly sunny.,86,22/07/2023
Liberia,Light rain. Mostly cloudy.,75,22/07/2023
Mali,Scattered clouds.,86,22/07/2023
Mauritania,Passing clouds.,86,22/07/2023
Niger,Passing clouds.,88,22/07/2023
Nigeria,Low clouds.,74,22/07/2023
Senegal,Scattered clouds.,86,22/07/2023
Sierra-Leone,Partly sunny.,79,22/07/2023
Togo,Partly sunny.,84,22/07/2023
Benin,Scattered clouds.,77,23/07/2023
Burkina-Faso,Overcast.,83,23/07/2023
Cape-Verde,Passing clouds.,78,23/07/2023
Cote-Divoire,Overcast.,77,23/07/2023
Gambia,Partly sunny.,88,23/07/2023
Ghana,Broken clouds.,81,23/07/2023
Guinea,Light rain. Mostly cloudy.,77,23/07/2023
Guinea-Bissau,Scattered clouds.,86,23/07/2023
Liberia,Partly sunny.,82,23/07/2023
Mali,Scattered clouds.,81,23/07/2023
Mauritania,Scattered clouds.,86,23/07/2023
Niger,Passing clouds.,90,23/07/2023
Nigeria,Overcast.,79,23/07/2023
Senegal,Passing clouds.,86,23/07/2023
Sierra-Leone,Partly sunny.,79,23/07/2023
Togo,Scattered clouds.,82,23/07/2023
Benin,Scattered clouds.,81,24/07/2023
Burkina-Faso,Overcast.,83,24/07/2023
Cape-Verde,Partly sunny.,85,24/07/2023
Cote-Divoire,Overcast.,76,24/07/2023
Gambia,Scattered clouds.,84,24/07/2023
Ghana,Scattered clouds.,82,24/07/2023
Guinea,Broken clouds.,81,24/07/2023
Guinea-Bissau,Passing clouds.,86,24/07/2023
Liberia,Partly sunny.,84,24/07/2023
Mali,Scattered clouds.,86,24/07/2023
Mauritania,Sunny.,86,24/07/2023
Niger,Passing clouds.,81,24/07/2023
Nigeria,Low clouds.,76,24/07/2023
Senegal,Scattered clouds.,84,24/07/2023
Sierra-Leone,Partly sunny.,81,24/07/2023
Togo,Scattered clouds.,86,24/07/2023
Benin,Scattered clouds.,84,25/07/2023
Burkina-Faso,Overcast.,87,25/07/2023
Cape-Verde,Partly sunny.,85,25/07/2023
Cote-Divoire,Low clouds.,78,25/07/2023
Gambia,Partly sunny.,86,25/07/2023
Ghana,Broken clouds.,82,25/07/2023
Guinea,Broken clouds.,84,25/07/2023
Guinea-Bissau,Partly sunny.,82,25/07/2023
Liberia,Light rain. Partly sunny.,79,25/07/2023
Mali,Scattered clouds.,86,25/07/2023
Mauritania,Sunny.,93,25/07/2023
Niger,Scattered clouds.,91,25/07/2023
Nigeria,Overcast.,80,25/07/2023
Senegal,Passing clouds.,86,25/07/2023
Sierra-Leone,Light rain. Partly sunny.,77,25/07/2023
Togo,Partly sunny.,82,25/07/2023
Benin,Scattered clouds.,82,26/07/2023
Burkina-Faso,Overcast.,86,26/07/2023
Cape-Verde,Passing clouds.,78,26/07/2023
Cote-Divoire,Overcast.,78,26/07/2023
Gambia,Partly sunny.,86,26/07/2023
Ghana,Partly sunny.,82,26/07/2023
Guinea,Broken clouds.,81,26/07/2023
Guinea-Bissau,Scattered clouds.,86,26/07/2023
Liberia,Partly sunny.,84,26/07/2023
Mali,Scattered clouds.,90,26/07/2023
Mauritania,Sunny.,81,26/07/2023
Niger,Passing clouds.,93,26/07/2023
Nigeria,Overcast.,81,26/07/2023
Senegal,Scattered clouds.,86,26/07/2023
Sierra-Leone,Partly sunny.,79,26/07/2023
Togo,Passing clouds.,84,26/07/2023
Benin,Scattered clouds.,82,27/07/2023
Burkina-Faso,Overcast.,89,27/07/2023
Cape-Verde,Passing clouds.,79,27/07/2023
Cote-Divoire,Overcast.,79,27/07/2023
