Country,Current_Weather,Current_Temperature(F),Date
Mauritania,Sunny.,91,26/04/2023
Niger,Sunny.,102,26/04/2023
Nigeria,Overcast.,86,26/04/2023
Senegal,Scattered clouds.,73,26/04/2023
Sierra-Leone,Scattered clouds.,86,26/04/2023
Togo,Passing clouds.,86,26/04/2023
Benin,Scattered clouds.,88,27/04/2023
Burkina-Faso,Passing clouds.,92,27/04/2023
Cape-Verde,Passing clouds.,71,27/04/2023
Cote-Divoire,Partly sunny.,81,27/04/2023
Gambia,Sunny.,86,27/04/2023
Ghana,Passing clouds.,90,27/04/2023
Guinea,Passing clouds.,88,27/04/2023
Guinea-Bissau,Clear.,84,27/04/2023
Liberia,Partly sunny.,90,27/04/2023
Mali,Sunny.,102,27/04/2023
Mauritania,Sunny.,91,27/04/2023
Niger,Sunny.,99,27/04/2023
Nigeria,Overcast.,78,27/04/2023
Senegal,Scattered clouds.,75,27/04/2023
Sierra-Leone,Partly sunny.,84,27/04/2023
Togo,Passing clouds.,90,27/04/2023
Benin,Scattered clouds.,88,28/04/2023
Burkina-Faso,Partly sunny.,85,28/04/2023
Cape-Verde,Passing clouds.,70,28/04/2023
Cote-Divoire,Overcast.,77,28/04/2023
Gambia,Sunny.,86,28/04/2023
Ghana,Passing clouds.,86,28/04/2023
Guinea,Scattered clouds.,88,28/04/2023
Guinea-Bissau,Clear.,91,28/04/2023
Liberia,Partly sunny.,84,28/04/2023
Mali,Passing clouds.,100,28/04/2023
Mauritania,Sunny.,95,28/04/2023
Niger,Sunny.,100,28/04/2023
Nigeria,Overcast.,85,28/04/2023
Senegal,Scattered clouds.,75,28/04/2023
Sierra-Leone,Scattered clouds.,88,28/04/2023
Togo,Passing clouds.,88,28/04/2023
Benin,Scattered clouds.,88,29/04/2023
Burkina-Faso,Passing clouds.,93,29/04/2023
Cape-Verde,Passing clouds.,71,29/04/2023
Cote-Divoire,Partly sunny.,83,29/04/2023
Gambia,Sunny.,82,29/04/2023
Ghana,Scattered clouds.,88,29/04/2023
Guinea,Partly sunny.,88,29/04/2023
Guinea-Bissau,Clear.,84,29/04/2023
Liberia,Partly sunny.,90,29/04/2023
Mali,Passing clouds.,97,29/04/2023
Mauritania,Sunny.,102,29/04/2023
Niger,Sunny.,99,29/04/2023
Nigeria,Overcast.,75,29/04/2023
Senegal,Passing clouds.,77,29/04/2023
Sierra-Leone,Partly sunny.,81,29/04/2023
Togo,Passing clouds.,90,29/04/2023
Benin,Passing clouds.,82,30/04/2023
Burkina-Faso,Overcast.,85,30/04/2023
Cape-Verde,Sunny.,92,30/04/2023
Cote-Divoire,Overcast.,83,30/04/2023
Gambia,Sunny.,86,30/04/2023
Ghana,Passing clouds.,88,30/04/2023
Guinea,Scattered clouds.,88,30/04/2023
Guinea-Bissau,Partly sunny.,84,30/04/2023
Liberia,Partly sunny.,88,30/04/2023
Mali,Passing clouds.,95,30/04/2023
Mauritania,Sunny.,100,30/04/2023
Niger,Sunny.,102,30/04/2023
Nigeria,Overcast.,82,30/04/2023
Senegal,Passing clouds.,77,30/04/2023
Sierra-Leone,Scattered clouds.,84,30/04/2023
Togo,Passing clouds.,81,30/04/2023
Benin,Scattered clouds.,88,01/05/2023
Burkina-Faso,Partly sunny.,89,01/05/2023
Cape-Verde,Passing clouds.,77,01/05/2023
Cote-Divoire,Scattered clouds.,81,01/05/2023
Gambia,Passing clouds.,81,01/05/2023
Ghana,Scattered clouds.,88,01/05/2023
Guinea,Scattered clouds.,86,01/05/2023
Guinea-Bissau,Sunny.,86,01/05/2023
Liberia,Overcast.,77,01/05/2023
Mali,Passing clouds.,95,01/05/2023
Mauritania,Sunny.,93,01/05/2023
Niger,Sunny.,102,01/05/2023
Nigeria,Overcast.,86,01/05/2023
Senegal,Partly sunny.,77,01/05/2023
Sierra-Leone,Scattered clouds.,86,01/05/2023
Togo,Scattered clouds.,88,01/05/2023
Benin,Scattered clouds.,86,02/05/2023
Burkina-Faso,Passing clouds.,94,02/05/2023
Cape-Verde,Clear.,72,02/05/2023
Cote-Divoire,Scattered clouds.,83,02/05/2023
Gambia,Scattered clouds.,84,02/05/2023
Ghana,Scattered clouds.,86,02/05/2023
Guinea,Broken clouds.,90,02/05/2023
Guinea-Bissau,Partly sunny.,88,02/05/2023
Liberia,Partly sunny.,88,02/05/2023
Mali,Passing clouds.,99,02/05/2023
Mauritania,Sunny.,88,02/05/2023
Niger,Sunny.,100,02/05/2023
Nigeria,Overcast.,90,02/05/2023
Senegal,Sunny.,79,02/05/2023
Sierra-Leone,Partly sunny.,81,02/05/2023
Togo,Passing clouds.,88,02/05/2023
Benin,Scattered clouds.,88,03/05/2023
Burkina-Faso,Overcast.,84,03/05/2023
Cape-Verde,Passing clouds.,77,03/05/2023
Cote-Divoire,Overcast.,82,03/05/2023
Gambia,Broken clouds.,79,03/05/2023
Ghana,Scattered clouds.,88,03/05/2023
Guinea,Thunderstorms. Partly sunny.,79,03/05/2023
Guinea-Bissau,Clear.,82,03/05/2023
Liberia,Partly sunny.,88,03/05/2023
Mali,Passing clouds.,99,03/05/2023
Mauritania,Sunny.,90,03/05/2023
Niger,Sunny.,102,03/05/2023
Nigeria,Overcast.,83,03/05/2023
Senegal,Sunny.,77,03/05/2023
Sierra-Leone,Scattered clouds.,81,03/05/2023
Togo,Passing clouds.,90,03/05/2023
Benin,Scattered clouds.,90,04/05/2023
Burkina-Faso,Scattered clouds.,90,04/05/2023
Cape-Verde,Passing clouds.,77,04/05/2023
Cote-Divoire,Overcast.,80,04/05/2023
Gambia,Sunny.,90,04/05/2023
Ghana,Passing clouds.,88,04/05/2023
Guinea,Broken clouds.,84,04/05/2023
Guinea-Bissau,Warm.,86,04/05/2023
Liberia,Partly sunny.,88,04/05/2023
Mali,Passing clouds.,95,04/05/2023
Mauritania,Sunny.,102,04/05/2023
Niger,Sunny.,102,04/05/2023
Nigeria,Overcast.,85,04/05/2023
Senegal,Sunny.,81,04/05/2023
Sierra-Leone,Broken clouds.,84,04/05/2023
Togo,Scattered clouds.,90,04/05/2023
